service,category,public_claim_summary,cta_observed,automation_angle,source,high_margin_potential,lead_intent_score
Botox,Injectables,"Botulinum toxin treatments using premium brands from USA, Germany and Korea; positioned for wrinkles, contouring, sweating and muscle tension.",WhatsApp consultation,"Botox lead qualification: area, units, previous treatment date, brand preference, contraindication warning, booking CTA.",sea_botox,5,5
Fillers,Injectables,"Hyaluronic-acid facial filler from Italy and Korea; positioned for volume restoration, contouring, hydration and natural results.",WhatsApp consultation,"Filler consultation flow: target area, desired result, prior filler history, budget band, doctor-consultation booking.",sea_filler,5,5
Laser Hair Removal,Laser / Device,Long Pulse Nd:YAG laser positioned for all skin types and hair reduction with wider skin-quality benefits.,WhatsApp consultation,"Laser package recommender: area, skin type, session plan, promo capture, appointment reminders.",sea_laser,4,4
Ulthera SPT,Lifting / Device,FDA-cleared micro-focused ultrasound for non-invasive lifting and collagen remodeling.,WhatsApp consultation,"Premium lifting funnel: age band, concern area, downtime expectation, consult conversion, before/after education.",sea_ulthera,5,4
Vaginal Care,Intimate wellness,FDA-approved non-invasive vaginal care using laser and radiofrequency technologies.,WhatsApp consultation,"Private inquiry flow: discreet FAQ, doctor consult booking, privacy-first follow-up, sensitive content guardrails.",sea_vaginal,4,3
IV Vitamin Drips,Wellness,"IV vitamins, minerals and antioxidants positioned for hydration, immunity, skin and overall wellness.",WhatsApp consultation,"Tourist/wellness funnel: fatigue, hangover, immunity, skin glow, same-day booking, reactivation after 30 days.",sea_iv,3,4
Exilis Ultra 360,Body contouring / Device,Monopolar radiofrequency and ultrasound for non-invasive fat reduction and skin tightening.,WhatsApp consultation,"Body-contouring nurture: target area, expected sessions, package pricing, progress follow-up.",sea_exilis,4,4
Wish Pro,Skin facial / Device,Magnetic infusion technology with interchangeable heads for hydration and skin rejuvenation.,WhatsApp consultation,"Low-friction facial upsell: skin concern quiz, add-on flow, post-treatment product recommendation.",sea_wish,3,3
8-in-1 Facial,Skin facial,"Multi-technology facial with ultrasonic cleansing, iontophoresis, LED therapy and microcurrent stimulation.",WhatsApp consultation,"Entry offer funnel: first-time facial booking, upsell to Wish Pro/Exilis, review request automation.",sea_facial,3,4
U+E+L Program,Combination program,"Combination of Ulthera, Exilis Ultra 360 and Long Pulse Nd:YAG Laser for lifting, tightening and smoothing.",WhatsApp consultation,"Premium bundle funnel: eligibility quiz, concern mapping, bundled quote, deposit request.",sea_uel,5,4
